"ID","model","n_points","converged","R2","AIC","AICc","BIC"
"Arthrobacter sp. 88_37_TGE agar_6","Logistic",16,TRUE,0.149086584763799,-164.855986373823,-162.855986373823,-162.538220207104
"Arthrobacter sp. 88_7_TGE agar_6","Quadratic",9,TRUE,0.977309779086366,-23.2744609726866,-18.4744609726866,-22.6827872406779
"Arthrobacter sp. 88_7_TGE agar_6","Logistic",9,TRUE,0.997223743214012,-42.1819354221788,-37.3819354221788,-41.5902616901701
"Bacillus.pumilus..RDA.R._15_TSB_1","Quadratic",21,TRUE,0.858842434160376,-32.0302632264886,-30.6184985206063,-28.8966959133184
"Bacillus.pumilus..RDA.R._15_TSB_1","Logistic",21,TRUE,0.952220281255811,-54.7790487112149,-53.3672840053325,-51.6454813980446
"Bacillus.pumilus..RDA.R._25_TSB_1","Quadratic",15,TRUE,0.802905013496022,-4.51981380718057,-2.33799562536238,-2.39566320387394
"Bacillus.pumilus..RDA.R._25_TSB_1","Logistic",15,TRUE,0.955188793018238,-26.7382265104085,-24.5564083285903,-24.6140759071018
"Bacillus.pumilus..RDA.R._35_TSB_1","Quadratic",17,TRUE,0.62680305521791,-4.30578634459522,-2.45963249844137,-1.80614631242657
"Bacillus.pumilus..RDA.R._35_TSB_1","Logistic",17,TRUE,0.949789456482604,-38.4057675525215,-36.5596137063676,-35.9061275203528
"Bacillus.pumilus..RDA.R._5_TSB_1","Quadratic",10,TRUE,0.285041446969764,6.77885294690757,10.7788529469076,7.68660822588971
"Bacillus.pumilus..RDA.R._5_TSB_1","Logistic",10,TRUE,-2.22044604925031e-16,10.1341600044896,14.1341600044896,11.0419152834718
"Bacillus.pumilus_15_TSB_1","Quadratic",22,TRUE,0.820899234179804,-39.2625734399981,-37.9292401066648,-35.9894460799232
"Bacillus.pumilus_15_TSB_1","Logistic",22,TRUE,0.903228085302429,-52.8055923850825,-51.4722590517492,-49.5324650250075
"Bacillus.pumilus_25_TSB_1","Quadratic",14,TRUE,0.840428993863207,-12.0859562232566,-9.68595622325661,-10.1687842344108
"Bacillus.pumilus_25_TSB_1","Logistic",14,TRUE,0.978047369591166,-39.8563846988115,-37.4563846988115,-37.9392127099657
"Bacillus.pumilus_35_TSB_1","Quadratic",15,TRUE,0.414996796534316,26.1562493547099,28.3380675365281,28.2803999580166
"Bacillus.pumilus_35_TSB_1","Logistic",15,TRUE,0.931000676559755,-5.90656000365862,-3.72474182184044,-3.78240940035199
"Bacillus.pumilus_5_TSB_1","Quadratic",26,TRUE,0.205754311897669,-17.7516986562194,-16.6607895653103,-13.9774090421549
"Bacillus.pumilus_5_TSB_1","Logistic",26,TRUE,-2.84889889456963e-11,-11.7622753522517,-10.6713662613426,-7.98798573818726
"Chryseobacterium.balustinum_15_TSB_1","Quadratic",21,TRUE,0.812581943119404,-55.4759880858353,-54.064223379953,-52.3424207726651
"Chryseobacterium.balustinum_15_TSB_1","Logistic",21,TRUE,0.989286518461113,-115.574603192883,-114.162838487,-112.441035879713
"Chryseobacterium.balustinum_25_TSB_1","Quadratic",12,TRUE,0.846856691865153,-13.6412999654064,-10.6412999654064,-12.1865800160424
"Chryseobacterium.balustinum_25_TSB_1","Logistic",12,TRUE,0.94786266848207,-26.5712148789099,-23.5712148789099,-25.1164949295459
"Chryseobacterium.balustinum_35_TSB_1","Quadratic",15,TRUE,0.662416563231859,-0.541598520733814,1.64021966108437,1.58255208257282
"Chryseobacterium.balustinum_35_TSB_1","Logistic",15,TRUE,0.942246076934494,-27.0259198334481,-24.8441016516299,-24.9017692301415
"Chryseobacterium.balustinum_5_TSB_1","Quadratic",28,TRUE,0.934979867982209,-77.8758033458312,-76.8758033458312,-73.8791898153056
"Chryseobacterium.balustinum_5_TSB_1","Logistic",28,TRUE,0.978476494840612,-108.831240980855,-107.831240980855,-104.834627450329
